"filename", "language", "HTML", "SCSS", "Markdown", "PostCSS", "XML", "JavaScript", "TypeScript", "MS SQL", "comment", "blank", "total"
"/Users/darrellparkhouse/development/beta-crm/backend/src/models/User.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 37, 0, 0, 3, 40
"/Users/darrellparkhouse/development/beta-crm/backend/src/models/UserPermissions.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 26, 0, 0, 2, 28
"/Users/darrellparkhouse/development/beta-crm/backend/src/services/taskService.js", "JavaScript", 0, 0, 0, 0, 0, 331, 0, 0, 55, 61, 447
"/Users/darrellparkhouse/development/beta-crm/claude.md", "Markdown", 0, 0, 49, 0, 0, 0, 0, 0, 0, 22, 71
"/Users/darrellparkhouse/development/beta-crm/client/css/app.css", "PostCSS", 0, 0, 0, 49, 0, 0, 0, 0, 2, 2, 53
"/Users/darrellparkhouse/development/beta-crm/client/dashboard-empty.html", "HTML", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"/Users/darrellparkhouse/development/beta-crm/client/images/calendar-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/beta-crm/client/images/checked.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/darrellparkhouse/development/beta-crm/client/images/kanban/kanban-icon.svg", "XML", 0, 0, 0, 0, 3, 0, 0, 0, 0, 1, 4
"/Users/darrellparkhouse/development/beta-crm/client/images/unchecked.svg", "XML", 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"/Users/darrellparkhouse/development/beta-crm/client/kanban-item.html", "HTML", 33, 0, 0, 0, 0, 0, 0, 0, 2, 1, 36
"/Users/darrellparkhouse/development/beta-crm/client/kanban.html", "HTML", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22
"/Users/darrellparkhouse/development/beta-crm/client/new-task.html", "HTML", 90, 0, 0, 0, 0, 0, 0, 0, 0, 2, 92
"/Users/darrellparkhouse/development/beta-crm/client/post.html", "HTML", 75, 0, 0, 0, 0, 0, 0, 0, 2, 6, 83
"/Users/darrellparkhouse/development/beta-crm/client/scss/_icons.scss", "SCSS", 0, 9, 0, 0, 0, 0, 0, 0, 0, 2, 11
"/Users/darrellparkhouse/development/beta-crm/client/scss/app.scss", "SCSS", 0, 16, 0, 0, 0, 0, 0, 0, 0, 2, 18
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_button.scss", "SCSS", 0, 10, 0, 0, 0, 0, 0, 0, 2, 3, 15
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_form.scss", "SCSS", 0, 17, 0, 0, 0, 0, 0, 0, 1, 5, 23
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_kanban-item.scss", "SCSS", 0, 4, 0, 0, 0, 0, 0, 0, 0, 3, 7
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_kanban.scss", "SCSS", 0, 19, 0, 0, 0, 0, 0, 0, 0, 4, 23
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_mixins.scss", "SCSS", 0, 24, 0, 0, 0, 0, 0, 0, 0, 4, 28
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_task.scss", "SCSS", 0, 15, 0, 0, 0, 0, 0, 0, 0, 5, 20
"/Users/darrellparkhouse/development/beta-crm/client/scss/partials/_vars.scss", "SCSS", 0, 13, 0, 0, 0, 0, 0, 0, 0, 3, 16
"/Users/darrellparkhouse/development/beta-crm/design-system.md", "Markdown", 0, 0, 105, 0, 0, 0, 0, 0, 0, 43, 148
"Total", "-", 232, 127, 569, 49, 25, 1172, 63, 225, 180, 466, 3108
